Time,CPU %,Memory (MB)
1676323394.9957304,4.773869346733672,1944
1676323396.0119448,15.461346633416461,1946
1676323397.0236354,12.846347607052898,1954
1676323398.0352094,21.287128712871283,1949
1676323399.0532534,25.888324873096447,1948
1676323400.064039,18.546365914786968,1942
1676323401.0754263,16.29072681704261,1942
1676323402.08482,26.010101010101007,1960
1676323403.0995028,15.696202531645564,1959
1676323404.1076024,30.000000000000004,1953
1676323405.1174521,17.839195979899504,1954
1676323406.125962,21.674876847290637,1954
1676323407.1347983,19.948849104859335,1954
1676323408.1434808,18.686868686868685,1940
1676323409.151634,24.874371859296485,1943
1676323410.1587615,21.212121212121215,1938
1676323411.167757,16.962025316455698,1943
1676323412.1775687,26.70025188916877,1949
1676323413.1887574,14.683544303797468,1949
1676323414.1999238,32.65822784810126,1949
1676323415.2090933,17.866004962779158,1949
1676323416.2157,21.30325814536341,1957
1676323417.2271056,21.464646464646464,1959
1676323418.2338207,21.518987341772156,1963
1676323419.243877,26.70025188916877,1955
1676323420.2563636,16.414141414141415,1955
1676323421.2697787,23.809523809523814,1950
1676323422.2803998,21.85929648241206,1951
1676323423.2891273,20.999999999999996,1952
1676323424.298466,29.51653944020356,1954
1676323425.308216,18.939393939393945,1956
1676323426.3171434,21.212121212121215,1966
1676323427.327413,21.85929648241206,1954
1676323428.3408005,14.683544303797468,1955
1676323429.3521922,28.967254408060448,1964
1676323430.3633268,18.181818181818176,1964
1676323431.3714616,27.06766917293233,1960
1676323432.383092,16.000000000000004,1959
1676323433.3935094,18.274111675126903,1956
1676323434.4045846,24.750000000000007,1956
1676323435.4132266,21.553884711779446,1956
1676323436.4239194,22.531645569620252,1948
1676323437.4352314,18.295739348370933,1948
1676323438.4442306,19.84924623115578,1951
1676323439.454165,25.188916876574307,1939
1676323440.4632132,21.750000000000004,1958
1676323441.4736245,23.690773067331673,1961
1676323442.4881198,20.300751879699252,1949
1676323443.4971452,18.703241895261847,1961
1676323444.506497,27.52525252525253,1960
1676323445.515875,17.042606516290725,1959
1676323446.5274017,26.44836272040302,1949
1676323447.5332348,19.143576826196472,1948
1676323448.5387676,23.86934673366834,1957
1676323449.5502884,24.619289340101524,1956
1676323450.5605123,23.690773067331673,1951
1676323451.5726473,22.842639593908633,1951
1676323452.584474,20.20460358056266,1951
1676323453.593414,20.151133501259444,1957
1676323454.599768,21.356783919597987,1959
1676323455.6120093,20.20460358056266,1959
1676323456.62119,25.313283208020053,1948
1676323457.6324425,18.939393939393945,1948
1676323458.638478,22.921914357682617,1950
1676323459.648202,21.969696969696972,1958
1676323460.6595385,20.64676616915423,1958
1676323461.6664338,25.190839694656486,1955
1676323462.676821,17.25888324873096,1955
1676323463.6834621,29.47103274559194,1957
1676323464.6911516,17.974683544303794,1957
1676323465.701973,24.93638676844784,1963
1676323466.7131386,23.690773067331673,1963
1676323467.7241979,20.759493670886076,1936
1676323468.73272,23.857868020304572,1941
1676323469.7458067,21.518987341772156,1956
1676323470.7561083,17.794486215538853,1956
1676323471.7691998,27.59493670886076,1951
1676323472.778662,18.952618453865334,1951
1676323473.7856157,27.59493670886076,1940
1676323474.7961428,16.3727959697733,1939
1676323475.8050861,19.59798994974874,1941
1676323476.8143132,24.93638676844784,1948
1676323477.8209822,17.955112219451376,1948
1676323478.833827,24.35897435897436,1943
1676323479.843896,15.11335012594458,1943
1676323480.853692,24.619289340101524,1953
1676323481.8642085,18.500000000000007,1952
1676323482.8766408,19.647355163727966,1947
1676323483.887396,21.750000000000004,1945
1676323484.900658,21.80451127819549,1936
1676323485.9111564,25.692695214105797,1947
1676323486.9221191,20.75,1940
1676323487.932391,17.042606516290725,1940
1676323488.9428074,28.109452736318406,1943
1676323489.9515474,18.952618453865334,1943
1676323490.9608903,29.620253164556964,1954
1676323491.9695368,17.67676767676768,1954
1676323492.9837542,19.999999999999996,1964
1676323493.9935632,25.380710659898476,1956
1676323495.0035064,17.206982543640905,1956
1676323496.0150368,29.87341772151899,1945
1676323497.026016,14.749999999999996,1945
1676323498.0319932,25.062656641604008,1960
1676323499.0432012,19.59287531806616,1960
1676323500.0533433,22.22222222222222,1947
1676323501.0642684,25.814536340852136,1950
1676323502.0749586,20.25,1951
1676323503.0826821,23.36683417085427,1952
1676323504.0937026,21.94513715710723,1945
1676323505.1050158,17.500000000000004,1944
1676323506.1149821,27.88944723618091,1953
1676323507.126371,18.796992481203013,1953
1676323508.1340766,23.350253807106604,1951
1676323509.1447527,20.45454545454546,1952
