Time,CPU %,Memory (MB)
1676323830.299733,0.0,24.136
1676323831.314546,0.0,24.136
1676323832.3314288,0.0,24.136
1676323833.3442972,0.0,24.136
1676323834.3558502,0.0,24.136
1676323835.3700042,0.0,24.136
1676323836.3811238,0.0,24.136
1676323837.3899267,0.0,24.136
1676323838.3982058,0.0,24.136
1676323839.4091597,0.0,24.136
1676323840.4183943,0.0,24.136
1676323841.4299927,0.0,24.136
1676323842.4420147,0.0,24.136
1676323843.4576612,0.0,24.136
1676323844.4665928,0.0,24.136
1676323845.476252,0.0,24.136
1676323846.4877346,0.0,24.136
1676323847.501258,0.0,24.136
1676323848.515318,0.0,24.136
1676323849.528815,0.0,24.136
1676323850.5415506,0.0,24.136
1676323851.5569124,0.0,24.136
1676323852.5724769,0.0,24.136
1676323853.5910375,0.0,24.136
1676323854.6047297,0.0,24.136
1676323855.6214793,0.0,24.136
1676323856.6410875,0.0,24.136
1676323857.6611001,0.0,24.136
1676323858.6713908,0.0,24.136
1676323859.685522,0.0,24.136
1676323860.694687,0.0,24.136
1676323861.716567,0.0,24.136
1676323862.7334387,0.0,24.136
1676323863.740845,0.0,24.136
1676323864.752559,0.0,24.136
1676323865.76687,0.0,24.136
1676323866.7740564,0.0,24.136
1676323867.783028,0.0,24.136
1676323868.7970586,0.0,24.136
1676323869.8320396,0.0,24.136
1676323870.8406506,0.0,24.136
1676323871.8500564,0.0,24.136
1676323872.8638809,0.0,24.136
1676323873.880163,0.0,24.136
1676323874.8934388,0.0,24.136
1676323875.9081411,0.0,24.136
1676323876.9276812,0.0,24.136
1676323877.9399848,0.0,24.136
1676323878.9480007,0.0,24.136
1676323879.9602907,0.0,24.136
1676323880.976026,0.0,24.136
1676323881.9862673,0.0,24.136
1676323883.000912,0.0,24.136
1676323884.0159767,0.0,24.136
1676323885.0371797,0.0,24.136
1676323886.0495615,0.0,24.136
1676323887.0627909,0.0,24.136
1676323888.071835,0.0,24.136
1676323889.08699,0.0,24.136
1676323890.098139,0.0,24.136
1676323891.1103432,0.0,24.136
1676323892.1242073,0.0,24.136
1676323893.1334946,0.0,24.136
1676323894.1411011,0.0,24.136
1676323895.1650777,0.0,24.136
1676323896.1731713,0.0,24.136
1676323897.1858428,0.0,24.136
1676323898.1971824,0.0,24.136
1676323899.2066095,0.0,24.136
1676323900.2275436,0.0,24.136
1676323901.2401316,0.0,24.136
1676323902.2551155,0.0,24.136
1676323903.2666097,0.0,24.136
1676323904.278044,0.0,24.136
1676323905.297248,0.0,24.136
1676323906.3173614,0.0,24.136
1676323907.3289902,0.0,24.136
1676323908.3392293,0.0,24.136
1676323909.3597586,0.0,24.136
1676323910.385219,0.0,24.136
1676323911.3993723,0.0,24.136
1676323912.40741,0.0,24.136
1676323913.4153745,0.0,24.136
1676323914.4261987,0.0,24.136
1676323915.4474053,0.0,24.136
1676323916.4564126,0.0,24.136
1676323917.4726677,0.0,24.136
1676323918.4842627,0.0,24.136
1676323919.4999955,0.0,24.136
1676323920.5126715,0.0,24.136
1676323921.5209055,0.0,24.136
1676323922.532516,0.0,24.136
1676323923.552695,0.0,24.136
1676323924.5605733,0.0,24.136
1676323925.5725236,0.0,24.136
1676323926.5884168,0.0,24.136
1676323927.6005867,0.0,24.136
1676323928.609214,0.0,24.136
1676323929.6185882,0.0,24.136
1676323930.627929,0.0,24.136
1676323931.6376033,0.0,24.136
1676323932.6818647,0.0,24.136
1676323933.689491,0.0,24.136
1676323934.709507,0.0,24.136
1676323935.7192068,0.0,24.136
1676323936.733105,0.0,24.136
1676323937.7448049,0.0,24.136
1676323938.7586353,0.0,24.136
1676323939.7704525,0.0,24.136
1676323940.7810683,0.0,24.136
1676323941.7954297,0.0,24.136
1676323942.8096793,0.0,24.136
1676323943.819551,0.0,24.136
1676323944.8422809,0.0,24.136
1676323945.856819,0.0,24.136
1676323946.8710315,0.0,24.136
1676323947.8837326,0.0,24.136
1676323948.8913083,0.0,24.136
1676323949.9130523,0.0,24.136
1676323950.934343,0.0,24.136
1676323951.945724,0.0,24.136
1676323952.9558227,0.0,24.136
1676323953.9698007,0.0,24.136
1676323954.9900103,0.0,24.136
1676323956.006921,0.0,24.136
1676323957.0211115,0.0,24.136
1676323958.0313282,0.0,24.136
1676323959.0410016,0.0,24.136
1676323960.0517504,0.0,24.136
1676323961.0739603,0.0,24.136
1676323962.0920422,0.0,24.136
1676323963.1055536,0.0,24.136
1676323964.1212454,0.0,24.136
1676323965.131885,0.0,24.136
1676323966.1691651,0.0,24.136
1676323967.1907887,0.0,24.136
1676323968.2011275,0.0,24.136
1676323969.2102602,0.0,24.136
1676323970.2211528,0.0,24.136
1676323971.2317388,0.0,24.136
1676323972.259684,0.0,24.136
1676323973.2723398,0.0,24.136
1676323974.2817104,0.0,24.136
1676323975.2955952,0.0,24.136
1676323976.317125,0.0,24.136
1676323977.327245,0.0,24.136
1676323978.3381438,0.0,24.136
1676323979.3471332,0.0,24.136
1676323980.3579566,0.0,24.136
1676323981.3666844,0.0,24.136
1676323982.377389,0.0,24.136
1676323983.3930888,0.0,24.136
1676323984.4036672,0.0,24.136
1676323985.416032,0.0,24.136
1676323986.449791,0.0,24.136
1676323987.4626434,0.0,24.136
1676323988.4810271,0.0,24.136
1676323989.491437,0.0,24.136
1676323990.5005271,0.0,24.136
1676323991.5199883,0.0,24.136
1676323992.5375729,0.0,24.136
1676323993.54623,0.0,24.136
1676323994.5549543,0.0,24.136
1676323995.5677555,0.0,24.136
1676323996.577668,0.0,24.136
1676323997.601974,0.0,24.136
1676323998.6122582,0.0,24.136
1676323999.6218498,0.0,24.136
1676324000.6503599,0.0,24.136
1676324001.6658483,0.0,24.136
1676324002.6786156,0.0,24.136
1676324003.689688,0.0,24.136
1676324004.710228,0.0,24.136
1676324005.721581,0.0,24.136
1676324006.7319148,0.0,24.136
1676324007.7405272,0.0,24.136
1676324008.7503288,0.0,24.136
1676324009.761006,0.0,24.136
1676324010.7714067,0.0,24.136
1676324011.782058,0.0,24.136
1676324012.7896721,0.0,24.136
1676324013.7997117,0.0,24.136
1676324014.8145099,0.0,24.136
1676324015.823903,0.0,24.136
1676324016.8416455,0.0,24.136
1676324017.8538637,0.0,24.136
1676324018.8646371,0.0,24.136
1676324019.8758671,0.0,24.136
1676324020.888083,0.0,24.136
1676324021.922477,0.0,24.136
1676324022.9336054,0.0,24.136
1676324023.947679,0.0,24.136
1676324024.9561343,0.0,24.136
1676324025.9654212,0.0,24.136
1676324026.987748,0.0,24.136
1676324027.9956954,0.0,24.136
1676324029.0074677,0.0,24.136
1676324030.0160744,0.0,24.136
1676324031.0249403,0.0,24.136
1676324032.045027,0.0,24.136
1676324033.0618255,0.0,24.136
1676324034.0890775,0.0,24.136
1676324035.1102593,0.0,24.136
1676324036.1225374,0.0,24.136
1676324037.1332502,0.0,24.136
1676324038.1445937,0.0,24.136
1676324039.1693695,0.0,24.136
1676324040.181041,0.0,24.136
1676324041.1912003,0.0,24.136
1676324042.20719,0.0,24.136
1676324043.217167,0.0,24.136
1676324044.2281768,0.0,24.136
1676324045.23769,0.0,24.136
1676324046.252057,0.0,24.136
1676324047.2718163,0.0,24.136
1676324048.2811801,0.0,24.136
1676324049.2955046,0.0,24.136
1676324050.3117373,0.0,24.136
1676324051.321752,0.0,24.136
1676324052.334052,0.0,24.136
1676324053.3452082,0.0,24.136
1676324054.357142,0.0,24.136
1676324055.3676922,0.0,24.136
1676324056.3814871,0.0,24.136
1676324057.3938434,0.0,24.136
1676324058.4048936,0.0,24.136
1676324059.4154735,0.0,24.136
1676324060.4262805,0.0,24.136
1676324061.4398847,0.0,24.136
1676324062.4500067,0.0,24.136
1676324063.4671848,0.0,24.136
1676324064.4849882,0.0,24.136
1676324065.5010686,0.0,24.136
1676324066.513201,0.0,24.136
1676324067.5261261,0.0,24.136
1676324068.5394719,0.0,24.136
1676324069.5509374,0.0,24.136
1676324070.5595074,0.0,24.136
1676324071.5699065,0.0,24.136
1676324072.5851505,0.0,24.136
1676324073.6046422,0.0,24.136
1676324074.619139,0.0,24.136
1676324075.6342027,0.0,24.136
1676324076.6435144,0.0,24.136
1676324077.660091,0.0,24.136
1676324078.6759822,0.0,24.136
