Time,CPU %,Memory (MB)
1676325308.382778,26.329113924050628,1994
1676325309.3963504,5.223880597014929,1993
1676325310.4051642,12.43781094527363,1978
1676325311.4160936,2.9925187032418976,1979
1676325312.426707,6.982543640897754,1982
1676325313.436789,19.647355163727966,1977
1676325314.4427197,19.548872180451127,1973
1676325315.4541929,23.737373737373733,1977
1676325316.4628043,16.3727959697733,1977
1676325317.4761336,19.444444444444443,1983
1676325318.4863157,25.313283208020053,1986
1676325319.496021,19.647355163727966,1995
1676325320.5068984,24.250000000000004,1996
1676325321.5181577,22.864321608040207,1991
1676325322.5266593,15.909090909090907,1989
1676325323.538101,27.819548872180455,1993
1676325324.5487528,18.25,1992
1676325325.5571084,26.515151515151516,1994
1676325326.5690567,16.3727959697733,1994
1676325327.5766208,28.967254408060448,2000
1676325328.5866575,16.70886075949367,1999
1676325329.5984752,20.19950124688279,1994
1676325330.607832,23.737373737373733,1995
1676325331.615238,16.919191919191924,1984
1676325332.6228566,23.97959183673469,1984
1676325333.6309075,20.610687022900763,1993
1676325334.640614,18.546365914786968,1994
1676325335.6516464,23.05764411027569,1979
1676325336.662121,19.75,1988
1676325337.670787,26.884422110552762,1990
1676325338.6794407,21.662468513853906,1976
1676325339.690331,16.296296296296298,1976
1676325340.7011218,24.619289340101524,1991
1676325341.710312,16.500000000000004,1990
1676325342.7206047,29.75,1994
1676325343.7320096,15.829145728643212,1994
1676325344.7418568,21.969696969696972,1980
1676325345.752595,19.047619047619047,1982
1676325346.7653174,24.371859296482413,1992
1676325347.7727475,28.822055137844615,1991
1676325348.7815685,20.2020202020202,1974
1676325349.7883239,21.144278606965173,1973
1676325350.7990022,23.750000000000004,1985
1676325351.8068187,15.776081424936383,1985
1676325352.8147626,29.57393483709273,1979
1676325353.8239067,17.721518987341767,1972
1676325354.8332887,20.707070707070706,1975
1676325355.844305,22.250000000000004,1981
1676325356.8533216,17.085427135678387,1980
1676325357.8647683,26.649746192893396,1996
1676325358.8745482,29.323308270676694,2007
1676325359.8856091,28.57142857142857,2000
1676325360.8934417,17.25,2000
1676325361.901183,19.999999999999996,1986
1676325362.911926,25.125628140703515,1980
1676325363.9204524,27.500000000000004,2004
1676325364.929892,31.139240506329113,1985
1676325365.9434624,21.144278606965173,1993
1676325366.9575331,19.20199501246883,1998
1676325367.9682667,34.5771144278607,1990
1676325368.981698,15.776081424936383,1990
1676325369.988583,26.76767676767676,1982
1676325370.9987118,16.876574307304782,1982
1676325372.0067961,20.999999999999996,1972
1676325373.0177867,25.5,1970
1676325374.0281622,15.443037974683548,1970
1676325375.0381026,28.07017543859649,1977
1676325376.0466502,15.4228855721393,1978
1676325377.0604641,24.164524421593825,1970
1676325378.070134,18.204488778054863,1970
1676325379.081187,25.0,1984
1676325380.0918145,25.376884422110557,1971
1676325381.1021514,20.802005012531332,1982
1676325382.114255,25.310173697270464,1992
1676325383.1219978,25.376884422110557,1970
1676325384.1294787,23.5,1976
1676325385.1386683,21.410579345088166,1980
1676325386.148982,14.609571788413101,1980
1676325387.1587317,26.329113924050628,1973
1676325388.170017,16.836734693877553,1973
1676325389.1772387,27.56892230576441,1976
1676325390.186516,16.49746192893401,1976
1676325391.2019875,15.989847715736039,1977
1676325392.2137759,23.469387755102044,1982
1676325393.2244096,17.839195979899504,1982
1676325394.2329633,26.38190954773869,1986
1676325395.244165,17.587939698492463,1986
1676325396.2510536,23.55889724310777,1994
1676325397.2645066,19.696969696969703,1994
1676325398.2746909,25.5,1986
1676325399.2860856,23.677581863979846,1975
1676325400.2978067,21.94513715710723,1973
1676325401.3081357,21.999999999999996,1982
1676325402.3193665,22.22222222222222,1987
1676325403.3312569,16.793893129770986,1987
1676325404.3434203,23.989898989898993,1991
1676325405.3510919,15.909090909090907,1990
1676325406.360352,24.0506329113924,1983
1676325407.3691673,18.999999999999993,1983
1676325408.3787656,19.696969696969703,1969
1676325409.3878372,24.310776942355893,1970
1676325410.3994324,16.666666666666664,1977
1676325411.408139,27.500000000000004,1978
1676325412.418856,15.829145728643212,1978
1676325413.428542,24.750000000000007,1968
1676325414.4400804,23.173803526448367,1972
1676325415.448659,20.100502512562812,1974
1676325416.4673326,22.90076335877863,1984
1676325417.475608,20.25,1970
1676325418.483695,19.75,1970
1676325419.4955332,26.0759493670886,1982
1676325420.5049214,17.25,1983
1676325421.5163038,25.188916876574307,1979
1676325422.5243,17.085427135678387,1979
1676325423.5311124,25.249999999999993,1968
1676325424.5457094,21.60804020100503,1969
1676325425.553805,19.84924623115578,1980
1676325426.5635684,25.188916876574307,1980
1676325427.5719557,18.36734693877551,1974
1676325428.5786169,27.27272727272727,1977
1676325429.5878644,19.999999999999996,1973
1676325430.6011562,19.395465994962212,1973
1676325431.6081223,21.30325814536341,1978
1676325432.6180348,20.959595959595955,1980
1676325433.6258159,24.812030075187973,1992
1676325434.6351671,20.759493670886076,1993
1676325435.6443133,16.834170854271356,1992
1676325436.6554337,26.749999999999996,1990
1676325437.6659827,15.656565656565657,1990
1676325438.6770325,27.735368956743002,1977
1676325439.6890454,19.15422885572139,1977
1676325440.6973145,20.812182741116747,1979
1676325441.707573,22.670025188916874,1979
1676325442.7177696,19.74683544303798,1979
1676325443.7280304,24.874371859296485,1988
1676325444.7375863,18.891687657430733,1972
1676325445.7465231,20.2020202020202,1975
1676325446.753356,24.561403508771928,1977
1676325447.7652087,16.957605985037404,1977
1676325448.7761996,24.0506329113924,1979
1676325449.788231,17.66169154228856,1988
1676325450.7962697,19.191919191919194,1981
1676325451.807035,20.304568527918786,1977
1676325452.8146589,18.181818181818176,1977
1676325453.8282034,27.930174563591027,1993
1676325454.8382177,16.161616161616166,1993
1676325455.8490808,27.135678391959793,1984
1676325456.8602226,16.040100250626566,1984
1676325457.8708334,21.065989847715738,1969
1676325458.8830082,28.14070351758794,1977
1676325459.8938525,17.76649746192893,1980
