Time,CPU %,Memory (MB)
1676326620.1062474,0.0,24.032
1676326621.118258,0.0,24.032
1676326622.1326234,0.0,24.032
1676326623.1441512,0.0,24.032
1676326624.1690946,0.0,24.032
1676326625.1950898,0.0,24.032
1676326626.2055721,0.0,24.032
1676326627.2207274,0.0,24.032
1676326628.2365375,0.0,24.032
1676326629.2502923,0.0,24.032
1676326630.2582488,0.0,24.032
1676326631.27787,0.0,24.032
1676326632.2926922,0.0,24.032
1676326633.303434,0.0,24.032
1676326634.3201766,0.0,24.032
1676326635.332537,0.0,24.032
1676326636.3436332,0.0,24.032
1676326637.3615656,0.0,24.032
1676326638.376423,0.0,24.032
1676326639.3950536,0.0,24.032
1676326640.4123378,0.0,24.032
1676326641.42375,0.0,24.032
1676326642.457854,0.0,24.032
1676326643.472338,0.0,24.032
1676326644.4973562,0.0,24.032
1676326645.5130663,0.0,24.032
1676326646.5370362,0.0,24.032
1676326647.5606358,0.0,24.032
1676326648.583751,0.0,24.032
1676326649.6051552,0.0,24.032
1676326650.6304066,0.0,24.032
1676326651.6505873,0.0,24.032
1676326652.6730893,0.0,24.032
1676326653.6894045,0.0,24.032
1676326654.7051563,0.0,24.032
1676326655.7290425,0.0,24.032
1676326656.7497344,0.0,24.032
1676326657.768242,0.0,24.032
1676326658.8144622,0.0,24.032
1676326659.8375847,0.0,24.032
1676326660.8655422,0.0,24.032
1676326661.8834043,0.0,24.032
1676326662.9003634,0.0,24.032
1676326663.925233,0.0,24.032
1676326664.9668083,0.0,24.032
1676326666.0181737,0.0,24.032
1676326667.0618286,0.0,24.032
1676326668.079517,0.0,24.032
1676326669.1010785,0.0,24.032
1676326670.121148,0.0,24.032
1676326671.137109,0.0,24.032
1676326672.185845,0.0,24.032
1676326673.2290509,0.0,24.032
1676326674.2574894,0.0,24.032
1676326675.2706363,0.0,24.032
1676326676.3083549,0.0,24.032
1676326677.3331308,0.0,24.032
1676326678.3635576,0.0,24.032
1676326679.3850644,0.0,24.032
1676326680.4490926,0.0,24.032
1676326681.4709127,0.0,24.032
1676326682.5126657,0.0,24.032
1676326683.5373855,0.0,24.032
1676326684.5908377,0.0,24.032
1676326685.632533,0.0,24.032
1676326686.6641974,0.0,24.032
1676326687.6810246,0.0,24.032
1676326688.7077026,0.0,24.032
1676326689.745086,0.0,24.032
1676326690.7632923,0.0,24.032
1676326691.7986972,0.0,24.032
1676326692.8139348,0.0,24.032
1676326693.859995,0.0,24.032
1676326694.8896065,0.0,24.032
1676326695.9092677,0.0,24.032
1676326696.9354157,0.0,24.032
1676326697.9509385,0.0,24.032
1676326698.9658368,0.0,24.032
1676326699.9858956,0.0,24.032
1676326701.0271316,0.0,24.032
1676326702.0502882,0.0,24.032
1676326703.0690246,0.0,24.032
1676326704.1192803,0.0,24.032
1676326705.157993,0.0,24.032
1676326706.1960683,0.0,24.032
1676326707.2277446,0.0,24.032
1676326708.2708144,0.0,24.032
1676326709.2939775,0.0,24.032
1676326710.3363757,0.0,24.032
1676326711.399509,0.0,24.032
1676326712.4215074,0.0,24.032
1676326713.4399877,0.0,24.032
1676326714.4763858,0.0,24.032
1676326715.516035,0.0,24.032
1676326716.5467494,0.0,24.032
1676326717.5651455,0.0,24.032
1676326718.58822,0.0,24.032
1676326719.6167698,0.0,24.032
1676326720.6415107,0.0,24.032
1676326721.6815052,0.0,24.032
1676326722.7034063,0.0,24.032
1676326723.7291322,0.0,24.032
1676326724.7449706,0.0,24.032
1676326725.7865393,0.0,24.032
1676326726.814329,0.0,24.032
1676326727.8354049,0.0,24.032
1676326728.8675668,0.0,24.032
1676326729.8844838,0.0,24.032
1676326730.902422,0.0,24.032
1676326731.938705,0.0,24.032
1676326732.9546127,0.0,24.032
1676326733.968409,0.0,24.032
1676326735.0260258,0.0,24.032
1676326736.047179,0.0,24.032
1676326737.0602615,0.0,24.032
1676326738.0681074,0.0,24.032
1676326739.1018949,0.0,24.032
1676326740.1693072,0.0,24.032
1676326741.1869547,0.0,24.032
1676326742.2208147,0.0,24.032
1676326743.2457643,0.0,24.032
1676326744.2821236,0.0,24.032
1676326745.317599,0.0,24.032
1676326746.3384752,0.0,24.032
1676326747.3647046,0.0,24.032
1676326748.3765328,0.0,24.032
1676326749.4018161,0.0,24.032
1676326750.4417725,0.0,24.032
1676326751.455998,0.0,24.032
1676326752.5031369,0.0,24.032
1676326753.5482779,0.0,24.032
1676326754.5850475,0.0,24.032
1676326755.616255,0.0,24.032
1676326756.6318696,0.0,24.032
1676326757.6873777,0.0,24.032
1676326758.700209,0.0,24.032
1676326759.7227082,0.0,24.032
1676326760.7719631,0.0,24.032
1676326761.8094687,0.0,24.032
1676326762.8301368,0.0,24.032
1676326763.8668933,0.0,24.032
1676326764.9077952,0.0,24.032
1676326765.9207263,0.0,24.032
1676326766.9531064,0.0,24.032
1676326767.9981472,0.0,24.032
1676326769.0383883,0.0,24.032
1676326770.0568318,0.0,24.032
1676326771.0711913,0.0,24.032
1676326772.0846267,0.0,24.032
1676326773.111553,0.0,24.032
1676326774.135503,0.0,24.032
1676326775.1737878,0.0,24.032
1676326776.2148635,0.0,24.032
1676326777.2344875,0.0,24.032
1676326778.3009589,0.0,24.032
1676326779.3511002,0.0,24.032
1676326780.37434,0.0,24.032
1676326781.422427,0.0,24.032
1676326782.4626396,0.0,24.032
1676326783.495731,0.0,24.032
1676326784.5116599,0.0,24.032
1676326785.5397115,0.0,24.032
1676326786.557318,0.0,24.032
1676326787.5803154,0.0,24.032
1676326788.600683,0.0,24.032
1676326789.6305673,0.0,24.032
1676326790.6472578,0.0,24.032
1676326791.6656737,0.0,24.032
1676326792.6968892,0.0,24.032
1676326793.7303586,0.0,24.032
1676326794.7469323,0.0,24.032
1676326795.7645,0.0,24.032
1676326796.7776766,0.0,24.032
1676326797.8075175,0.0,24.032
1676326798.8371005,0.0,24.032
1676326799.8938267,0.0,24.032
1676326800.9285622,0.0,24.032
1676326801.946091,0.0,24.032
1676326802.9849622,0.0,24.032
1676326804.0066118,0.0,24.032
1676326805.0205443,0.0,24.032
1676326806.0495765,0.0,24.032
1676326807.085313,0.0,24.032
1676326808.099204,0.0,24.032
1676326809.1182437,0.0,24.032
1676326810.1393764,0.0,24.032
1676326811.1860478,0.0,24.032
1676326812.2289243,0.0,24.032
1676326813.2417815,0.0,24.032
1676326814.2582374,0.0,24.032
1676326815.2931683,0.0,24.032
1676326816.3192945,0.0,24.032
1676326817.3491392,0.0,24.032
1676326818.3783038,0.0,24.032
1676326819.444397,0.0,24.032
1676326820.4844127,0.0,24.032
1676326821.4963994,0.0,24.032
1676326822.515715,0.0,24.032
1676326823.5398593,0.0,24.032
1676326824.5686007,0.0,24.032
1676326825.5962622,0.0,24.032
1676326826.6407325,0.0,24.032
1676326827.653035,0.0,24.032
1676326828.662412,0.0,24.032
1676326829.6955295,0.0,24.032
1676326830.7220101,0.0,24.032
1676326831.815541,0.0,24.032
1676326832.8360343,0.0,24.032
1676326833.8813906,0.0,24.032
1676326834.9196126,0.0,24.032
1676326835.9479656,0.0,24.032
1676326836.976013,0.0,24.032
1676326837.9885478,0.0,24.032
1676326839.0047722,0.0,24.032
1676326840.0681808,0.0,24.032
1676326841.1147416,0.0,24.032
1676326842.1427164,0.0,24.032
1676326843.184795,0.0,24.032
1676326844.226763,0.0,24.032
1676326845.249304,0.0,24.032
1676326846.2773678,0.0,24.032
1676326847.3195682,0.0,24.032
1676326848.3341284,0.0,24.032
1676326849.3518186,0.0,24.032
1676326850.393688,0.0,24.032
1676326851.43775,0.0,24.032
1676326852.4690757,0.0,24.032
1676326853.4934766,0.0,24.032
1676326854.5348961,0.0,24.032
1676326855.5769544,0.0,24.032
1676326856.5980651,0.0,24.032
1676326857.6452885,0.0,24.032
1676326858.6628075,0.0,24.032
1676326859.697734,0.0,24.032
1676326860.7694771,0.0,24.032
1676326861.7835548,0.0,24.032
1676326862.7998357,0.0,24.032
1676326863.818332,0.0,24.032
1676326864.8374302,0.0,24.032
1676326865.8552332,0.0,24.032
1676326866.8721745,0.0,24.032
1676326867.8887973,0.0,24.032
1676326868.9069378,0.0,24.032
