Time,CPU %,Memory (MB)
1676320834.8573892,0.0,29.704
1676320835.8678637,0.0,29.704
1676320836.880117,0.0,29.704
1676320837.8905296,0.0,29.704
1676320838.9059134,0.0,29.704
1676320839.9257452,0.0,29.704
1676320840.9385645,0.0,29.704
1676320841.9511106,0.0,29.704
1676320842.9610763,0.0,29.704
1676320843.9718118,0.0,29.704
1676320844.9830298,0.0,29.704
1676320845.9961743,0.0,29.704
1676320847.0056427,0.0,29.704
1676320848.0170288,0.0,29.704
1676320849.0307121,0.0,29.704
1676320850.0411894,0.0,29.704
1676320851.0558512,0.0,29.704
1676320852.0736728,0.0,29.704
1676320853.0868804,0.0,29.704
1676320854.1076882,0.0,29.704
1676320855.1216896,0.0,29.704
1676320856.1323202,0.0,29.704
1676320857.1441932,0.0,29.704
1676320858.1621847,0.0,29.704
1676320859.1801088,0.0,29.704
1676320860.1933007,0.0,29.704
1676320861.2041037,0.0,29.704
1676320862.2191997,0.0,29.704
1676320863.2292354,0.0,29.704
1676320864.2450285,0.0,29.704
1676320865.2586865,0.0,29.704
1676320866.2705162,0.0,29.704
1676320867.292976,0.0,29.704
1676320868.303284,0.0,29.704
1676320869.3129623,0.0,29.704
1676320870.322297,0.0,29.704
1676320871.333707,0.0,29.704
1676320872.3653336,0.0,29.704
1676320873.3858938,0.0,29.704
1676320874.399106,0.0,29.704
1676320875.4087179,0.0,29.704
1676320876.4198177,0.0,29.704
1676320877.4320314,0.0,29.704
1676320878.4437456,0.0,29.704
1676320879.4545872,0.0,29.704
1676320880.4733005,0.0,29.704
1676320881.4939733,0.0,29.704
1676320882.5023336,0.0,29.704
1676320883.5135453,0.0,29.704
1676320884.5249908,0.0,29.704
1676320885.5372086,0.0,29.704
1676320886.5480826,0.0,29.704
1676320887.5630188,0.0,29.704
1676320888.6033404,0.0,29.704
1676320889.6161184,0.0,29.704
1676320890.6238976,0.0,29.704
1676320891.649984,0.0,29.704
1676320892.664519,0.0,29.704
1676320893.6744277,0.0,29.704
1676320894.68748,0.0,29.704
1676320895.6996968,0.0,29.704
1676320896.7115045,0.0,29.704
1676320897.725035,0.0,29.704
1676320898.750429,0.0,29.704
1676320899.7618945,0.0,29.704
1676320900.7765675,0.0,29.704
1676320901.7939687,0.0,29.704
1676320902.802699,0.0,29.704
1676320903.8210518,0.0,29.704
1676320904.8445995,0.0,29.704
1676320905.855016,0.0,29.704
1676320906.8691814,0.0,29.704
1676320907.881853,0.0,29.704
1676320908.896901,0.0,29.704
1676320909.9064016,0.0,29.704
1676320910.9210134,0.0,29.704
1676320911.9335334,0.0,29.704
1676320912.9430947,0.0,29.704
1676320913.9537454,0.0,29.704
1676320914.9626,0.0,29.704
1676320915.9793591,0.0,29.704
1676320916.9908607,0.0,29.704
1676320918.0025933,0.0,29.704
1676320919.0111103,0.0,29.704
