Time,CPU %,Memory (MB)
1676321853.994804,21.26582278481013,2582
1676321855.0059855,23.690773067331673,2584
1676321856.0167716,35.51637279596977,2581
1676321857.0253067,36.98979591836735,2593
1676321858.0400836,45.93908629441624,2600
1676321859.048137,56.53266331658291,2596
1676321860.054208,61.460957178841305,2598
1676321861.0597796,67.60204081632652,2605
1676321862.0658786,67.43002544529261,2609
1676321863.0761724,68.97435897435898,2616
1676321864.0877466,75.77319587628865,2627
1676321865.101614,74.3142144638404,2628
1676321866.1175506,81.28205128205128,2634
1676321867.1245542,78.8265306122449,2625
1676321868.1591916,84.05063291139241,2648
1676321869.1685178,82.67326732673268,2643
1676321870.1890228,84.7328244274809,2655
1676321871.1983488,86.66666666666667,2663
1676321872.2069428,86.78304239401497,2654
1676321873.2149134,91.41414141414141,2672
1676321874.2310815,90.02493765586036,2671
1676321875.2490864,91.81141439205956,2690
1676321876.2592194,91.02244389027432,2688
1676321877.2869992,92.9471032745592,2701
1676321878.2974274,94.58128078817734,2701
1676321879.3241012,94.80198019801979,2701
1676321880.3399625,93.87254901960785,2712
1676321881.3572483,78.51851851851852,2712
1676321882.366918,94.77611940298507,2721
1676321883.3997927,94.77611940298507,2732
1676321884.411986,93.7046004842615,2741
1676321885.4403102,96.28712871287128,2740
1676321886.4683416,98.0440097799511,2744
1676321887.4936073,95.09803921568627,2777
1676321888.5221136,95.56650246305418,2793
1676321889.5592103,98.2885085574572,2792
1676321890.5820088,96.56862745098039,2796
1676321891.6093223,97.07317073170731,2817
1676321892.639891,97.82082324455206,2810
1676321893.6791945,98.78934624697337,2823
1676321894.6884139,99.03381642512076,2823
1676321895.706757,98.00995024875621,2824
1676321896.729872,97.77777777777777,2830
1676321897.7667615,99.75550122249389,2833
1676321898.7784185,99.75903614457832,2845
1676321899.789145,99.50738916256158,2851
1676321900.8186843,99.0074441687345,2851
1676321901.8309336,98.2885085574572,2864
1676321902.856115,98.2843137254902,2882
1676321903.870697,99.5085995085995,2878
1676321904.8900785,98.01488833746899,2877
1676321905.9083343,99.01960784313727,2870
1676321906.9331107,97.78325123152709,2877
1676321907.9431877,99.26289926289927,2890
1676321908.9775324,98.50374064837905,2896
1676321910.0013118,99.27184466019418,2904
1676321911.012123,100.0,2898
1676321912.0330827,100.0,2895
1676321913.072369,98.77750611246944,2922
1676321914.0830576,98.78934624697337,2915
1676321915.0938942,99.01234567901234,2926
1676321916.1418252,99.00249376558602,2930
1676321917.1520185,98.07692307692307,2937
1676321918.1875758,99.50738916256158,2933
1676321919.1999745,99.7584541062802,2930
