Time,CPU %,Memory (MB)
1676311455.1135125,0.0,24.008
1676311456.1307368,0.0,24.008
1676311457.14328,0.0,24.008
1676311458.154329,0.0,24.008
1676311459.1918797,0.7228562506161246,24.124
1676311460.2110388,17.9069199139207,24.3
1676311461.2286232,21.61982990859074,24.524
1676311462.266946,16.372555764100554,24.776
1676311463.2935228,22.161031637742337,24.776
1676311464.3213124,17.51331218675059,25.028
1676311465.3460002,19.274163931191676,25.56
1676311466.3662906,18.8671778900259,25.56
1676311467.3864868,17.643665022751737,25.716
1676311468.4004133,19.725295552301183,25.716
1676311469.4097111,17.586483553500294,25.724
1676311470.4356585,17.05740582156965,25.732
1676311471.4599037,18.794326624140236,25.768
1676311472.4832613,20.276391552913807,25.784
1676311473.5071194,18.31308512630019,25.796
1676311474.5410147,16.926279456267533,25.808
1676311475.5668461,17.05933251817662,25.848
1676311476.5863812,17.65510635511568,25.944
1676311477.6122305,17.546436164625028,26.224
1676311478.6420283,18.692990159250883,26.496
1676311479.6604507,21.356561622615395,26.528
1676311480.6806366,17.643842326541215,26.788
1676311481.690255,19.809466954262458,26.796
1676311482.708455,16.696127817814784,26.932
1676311483.7220566,23.184652979886582,26.952
1676311484.7440455,18.83582159190692,28.152
1676311485.7552145,18.790133808047386,28.152
1676311486.77783,14.668270710348827,28.232
1676311487.8013747,18.318690313524765,28.232
1676311488.8230066,19.821228064648302,28.24
1676311489.855326,18.405158040870088,28.268
1676311490.8710833,19.93586416283003,28.88
1676311491.8857014,17.001469822119745,29.132
1676311492.901818,17.22243261342009,29.212
1676311493.9134269,16.804914453116247,29.38
1676311494.9494562,19.06316670739917,29.616
1676311495.9667642,20.15122270295126,29.632
1676311496.989009,20.298466859703684,29.664
1676311498.0054295,18.93901003875747,30.016
1676311499.0248883,19.863481075417745,30.332
1676311500.037909,18.755785533113446,30.332
1676311501.0544813,17.952487128305123,30.952
1676311502.0877843,19.113463884409416,31.176
1676311503.102098,20.950126224044187,31.176
1676311504.1472354,18.418630794977016,31.176
