Time,CPU %,Memory (MB)
1676313887.455395,9.595959595959592,2426
1676313888.4823413,39.18575063613231,2444
1676313889.5183194,82.33830845771143,2461
1676313890.5446534,81.54613466334165,2449
1676313891.5707874,91.7910447761194,2471
1676313892.600522,93.58024691358024,2470
1676313893.6572597,97.5669099756691,2478
1676313894.698727,96.4200477326969,2495
1676313895.7490299,96.43705463182897,2498
1676313896.810135,96.88995215311004,2540
1676313897.8610246,97.1764705882353,2536
1676313898.974691,96.98375870069606,2539
1676313900.0280504,98.82903981264637,2553
1676313901.073135,99.29078014184397,2563
1676313902.1097941,97.3365617433414,2565
1676313903.1583512,98.55072463768117,2578
1676313904.1838868,97.83653846153845,2571
1676313905.2571342,97.79411764705883,2597
1676313906.3279502,99.06542056074767,2606
1676313907.3730733,99.06542056074767,2613
1676313908.4365551,98.08612440191388,2612
1676313909.501178,98.10874704491725,2611
1676313910.5684931,99.52941176470588,2632
1676313911.5890245,98.34123222748815,2645
1676313912.6591854,98.54721549636804,2665
1676313913.697486,98.58156028368793,2674
1676313914.7391636,98.0722891566265,2675
1676313915.9279094,97.60765550239235,2688
1676313917.0932527,99.36575052854123,2694
1676313918.1755,99.14163090128756,2694
1676313919.3014758,98.36829836829837,2706
1676313920.3628242,99.33333333333333,2709
1676313921.423868,99.29078014184397,2725
1676313922.4516606,99.06542056074767,2732
1676313923.4988022,99.01477832512316,2729
1676313924.5975802,99.52038369304557,2748
1676313925.6823676,99.5475113122172,2752
1676313926.8550303,99.76851851851852,2759
1676313928.029112,98.51063829787235,2769
1676313929.1210337,99.36034115138592,2787
1676313930.1490865,99.77168949771689,2776
1676313931.2331693,99.76190476190476,2803
1676313932.4336998,99.04988123515439,2810
1676313933.5405524,99.16666666666667,2811
1676313934.6890554,99.77477477477478,2817
1676313935.76556,99.56803455723542,2827
1676313936.8049312,100.0,2830
1676313938.0193546,99.51807228915662,2851
1676313939.1293128,100.0,2852
1676313940.2292094,99.55257270693512,2865
1676313941.3851984,99.31350114416476,2881
1676313942.5854273,99.78448275862068,2900
1676313943.7008512,99.36842105263159,2892
1676313944.7201765,99.5505617977528,2907
1676313945.9226458,99.75490196078431,2911
1676313947.012324,99.79166666666667,2915
1676313948.0213225,99.5433789954338,2917
1676313949.2174983,99.27536231884058,2919
1676313950.3135564,99.14529914529915,2915
1676313951.5394323,98.85321100917432,2924
1676313952.7376888,99.59266802443992,2930
1676313953.7576144,99.58246346555325,2925
1676313954.8601692,99.26470588235294,2925
1676313956.077461,99.54545454545455,2937
1676313957.344873,99.79423868312757,2911
1676313958.5897164,99.80314960629921,2920
1676313959.7471561,99.19354838709677,2925
1676313960.8734784,98.27586206896551,2916
1676313962.0131297,100.0,2928
1676313963.2694113,99.56331877729258,2925
1676313964.3060737,99.40119760479041,2926
1676313965.3486142,99.51807228915662,2922
1676313966.5557363,99.04306220095694,2920
1676313967.6544864,99.17184265010351,2915
1676313968.810272,99.31350114416476,2921
1676313969.8825417,99.78308026030369,2915
1676313971.0575454,98.82903981264637,2921
1676313972.3172667,99.36305732484077,2915
1676313973.3860772,99.00398406374502,2912
1676313974.543312,98.83177570093457,2909
1676313975.721997,99.13793103448276,2920
1676313976.9173462,99.36305732484077,2918
1676313978.0607119,99.57894736842105,2914
1676313979.1306121,99.34782608695653,2912
1676313980.4153874,99.54128440366972,2902
1676313981.581104,98.61111111111111,2896
1676313982.7277641,98.92703862660944,2912
1676313983.8331542,99.12663755458514,2904
1676313985.0092082,99.09297052154194,2907
1676313986.1935742,99.35897435897436,2922
1676313987.2144718,99.1578947368421,2905
1676313988.3270783,99.26470588235294,2906
1676313989.4734113,98.87133182844244,2891
1676313990.5490417,99.34782608695653,2896
1676313991.6542966,99.06542056074767,2898
1676313992.710581,99.09297052154194,2891
1676313993.7653859,98.57142857142858,2893
1676313994.799415,98.82352941176471,2887
1676313995.880277,99.01960784313727,2888
1676313996.9215035,99.30715935334872,2885
1676313997.9916162,98.79807692307693,2881
1676313999.0481007,99.52941176470588,2892
1676314000.128936,99.05437352245863,2880
1676314001.2093794,99.53596287703016,2886
1676314002.2423227,99.07407407407408,2862
1676314003.3211992,98.05352798053528,2859
1676314004.4087303,99.07192575406032,2860
1676314005.5150235,98.8558352402746,2872
1676314006.5646853,99.0909090909091,2841
1676314007.6055074,97.14964370546319,2835
1676314008.7912078,98.06763285024155,2835
1676314009.9227586,99.36305732484077,2836
1676314011.0050848,97.55555555555556,2832
1676314012.1334484,98.38709677419355,2832
1676314013.1468172,99.11111111111111,2821
1676314014.153791,96.25,2813
1676314015.204224,97.01492537313433,2793
1676314016.219545,96.40287769784173,2788
1676314017.2291887,73.1958762886598,2773
1676314018.2413085,65.2542372881356,2773
1676314019.25707,64.1711229946524,2767
1676314020.2723644,64.83516483516483,2767
1676314021.2835748,75.58441558441558,2744
1676314022.2968688,67.79661016949152,2745
1676314023.313768,73.24675324675324,2756
1676314024.3233483,67.8474114441417,2767
1676314025.3307035,65.08379888268156,2767
1676314026.3438692,65.07936507936508,2765
1676314027.3571913,68.0327868852459,2765
1676314028.3700721,62.03208556149733,2756
1676314029.3778412,61.79775280898876,2756
1676314030.3845294,67.65498652291106,2771
1676314031.3905067,68.76712328767123,2771
1676314032.4030278,68.42105263157895,2769
1676314033.4167078,67.83783783783784,2754
1676314034.4311004,70.65217391304348,2759
1676314035.4479651,69.42148760330579,2765
1676314036.4591277,67.38544474393531,2757
1676314037.4695313,62.66666666666667,2749
1676314038.4751046,67.29729729729729,2752
1676314039.482903,65.24064171122994,2754
1676314040.4956212,68.14404432132963,2754
1676314041.510836,67.46031746031747,2753
1676314042.5211844,66.30136986301369,2753
1676314043.5293844,68.66840731070496,2752
1676314044.5362344,66.4850136239782,2756
1676314045.543975,67.9245283018868,2764
1676314046.5631938,68.76712328767123,2764
1676314047.582877,68.0,2768
1676314048.5899103,66.57824933687002,2754
1676314049.5952427,70.27777777777777,2754
1676314050.6115513,67.75067750677508,2771
1676314051.6287878,70.1086956521739,2771
1676314052.6559298,67.57493188010899,2772
1676314053.6731234,72.08672086720867,2771
1676314054.6823509,67.36842105263158,2772
1676314055.6963942,69.64769647696477,2765
1676314056.7073784,69.02887139107612,2775
1676314057.7149296,69.04761904761905,2775
1676314058.7221558,64.70588235294117,2768
1676314059.7311163,69.52908587257618,2768
1676314060.741003,66.84350132625994,2749
1676314061.7568126,69.61325966850829,2749
1676314062.7691064,68.71657754010695,2762
1676314063.7820275,67.36842105263158,2762
1676314064.7941284,67.41573033707866,2762
1676314065.8087983,70.58823529411764,2759
1676314066.8242407,70.63953488372093,2759
1676314067.832659,67.54617414248021,2752
1676314068.8448925,66.66666666666667,2752
1676314069.8576448,69.92084432717678,2758
1676314070.866177,69.29133858267717,2751
1676314071.8803408,67.9144385026738,2748
1676314072.8896492,68.61702127659575,2756
1676314073.8980942,65.56473829201101,2746
1676314074.9170318,67.80626780626781,2750
1676314075.9289925,68.29268292682926,2744
1676314076.9371345,67.9144385026738,2745
1676314077.9450135,67.02127659574468,2763
1676314078.9544919,65.42857142857143,2765
1676314079.9620287,71.76781002638522,2766
1676314080.975192,64.86486486486487,2752
1676314081.9847176,70.1086956521739,2752
1676314082.9956293,69.67213114754098,2758
1676314084.0061162,66.75603217158177,2758
1676314085.0155785,62.70718232044199,2765
1676314086.0270493,69.45945945945947,2765
1676314087.0415108,65.83333333333333,2764
1676314088.0485027,66.03773584905662,2773
1676314089.0574384,68.68131868131869,2772
1676314090.0752053,68.42105263157895,2761
1676314091.0845633,65.87301587301587,2762
1676314092.0940585,73.31536388140162,2755
1676314093.1115196,68.0327868852459,2752
1676314094.1206398,68.25396825396825,2771
1676314095.1358187,68.20652173913044,2768
1676314096.1508086,66.75675675675676,2749
1676314097.1577914,63.24324324324324,2751
1676314098.1735322,66.21621621621621,2753
1676314099.1891735,64.83516483516483,2753
1676314100.1971252,70.94240837696336,2750
1676314101.2039793,63.88140161725067,2750
1676314102.210713,69.5187165775401,2766
1676314103.224498,70.11173184357543,2767
1676314104.2370067,71.38964577656675,2769
1676314105.2469463,66.05263157894737,2770
1676314106.253504,68.81720430107528,2770
1676314107.2688837,68.50828729281768,2766
1676314108.2857916,70.34120734908136,2766
1676314109.294224,66.3129973474801,2764
1676314110.2981849,67.12328767123287,2764
