Time,CPU %,Memory (MB)
1676317083.1231508,12.030075187969924,1825
1676317084.1333537,6.499999999999995,1811
1676317085.1444323,11.250000000000004,1818
1676317086.152149,20.100502512562812,1823
1676317087.1622272,27.480916030534353,1824
1676317088.1754658,16.040100250626566,1823
1676317089.1875794,22.05513784461153,1828
1676317090.1990702,22.9426433915212,1823
1676317091.2100658,20.45454545454546,1831
1676317092.2187285,28.927680798004985,1833
1676317093.2276425,20.98765432098766,1827
1676317094.233683,17.602040816326525,1826
1676317095.2435622,22.646310432569972,1825
1676317096.2581913,15.656565656565657,1825
1676317097.270478,29.75,1836
1676317098.2813306,15.909090909090907,1836
1676317099.2923174,25.822784810126585,1814
1676317100.3010187,17.76649746192893,1814
1676317101.3065906,21.464646464646464,1819
1676317102.3173857,31.043256997455472,1821
1676317103.326768,19.143576826196472,1823
1676317104.33669,23.484848484848484,1818
1676317105.346623,16.040100250626566,1818
1676317106.356351,20.802005012531332,1826
1676317107.3662813,26.43391521197007,1827
1676317108.3755908,19.897959183673475,1835
1676317109.3829281,22.08121827411168,1836
1676317110.393794,19.84924623115578,1836
1676317111.403128,15.500000000000004,1836
1676317112.4154682,27.157360406091367,1825
1676317113.4219625,16.45885286783042,1825
1676317114.4338355,26.27551020408163,1831
1676317115.4430072,16.040100250626566,1831
1676317116.454337,25.749999999999996,1819
1676317117.4646401,18.796992481203013,1819
1676317118.475679,19.59287531806616,1828
1676317119.487495,21.356783919597987,1829
1676317120.495039,19.493670886075954,1820
1676317121.50569,25.806451612903224,1817
1676317122.5206094,21.999999999999996,1817
1676317123.5278335,18.592964824120607,1815
1676317124.537307,23.737373737373733,1824
1676317125.5490522,19.75,1827
1676317126.5602503,22.97979797979798,1835
1676317127.5713577,20.854271356783915,1833
1676317128.582224,14.8989898989899,1833
1676317129.5895886,26.649746192893396,1824
1676317130.6003633,18.734177215189874,1824
1676317131.610204,24.250000000000004,1827
1676317132.6177676,24.43324937027708,1826
1676317133.6302974,17.929292929292927,1821
1676317134.6410081,22.531645569620252,1825
1676317135.6523743,20.19950124688279,1809
1676317136.6609073,23.61809045226131,1814
1676317137.669764,22.55639097744361,1814
1676317138.677212,23.484848484848484,1825
1676317139.6837,20.351758793969854,1833
1676317140.6950696,16.957605985037404,1819
1676317141.7029202,27.386934673366838,1825
