Time,Memory (MB)
1676397572.9605756,2540
1676397574.0278842,2539
1676397575.1298864,2555
1676397576.1924632,2556
1676397577.2192562,2550
1676397578.3454294,2551
1676397579.4091427,2529
1676397580.4497592,2533
1676397581.5539112,2549
1676397582.5886743,2544
1676397583.6674922,2545
1676397584.6740334,2539
1676397585.697006,2542
1676397586.7297397,2544
1676397587.7530355,2538
1676397588.884131,2548
1676397589.9576366,2546
1676397591.1670496,2544
1676397592.2794569,2548
1676397593.3134959,2542
1676397594.338014,2552
1676397595.4892602,2557
1676397596.518312,2555
1676397597.5545044,2554
1676397598.6772149,2551
1676397599.7375438,2548
1676397600.8190372,2559
1676397601.9476898,2554
1676397603.119719,2547
1676397604.3233252,2549
1676397605.4211633,2551
1676397606.6128454,2550
1676397607.7282739,2535
1676397608.8470085,2544
1676397609.9686575,2543
1676397611.1211448,2537
1676397612.3026743,2553
1676397613.4335968,2548
1676397614.5352385,2543
1676397615.5544283,2545
1676397616.6330285,2561
1676397617.6827955,2559
1676397618.7343483,2538
1676397619.8642154,2554
1676397620.9052236,2544
1676397621.9506855,2538
1676397623.0395322,2537
1676397624.1245744,2544
1676397625.3090246,2543
1676397626.3415563,2546
1676397627.4123735,2560
1676397628.519902,2546
1676397629.6050744,2545
1676397630.6704226,2561
1676397631.8133085,2556
1676397632.8761926,2546
1676397634.0048351,2546
1676397635.1165488,2550
1676397636.2770631,2551
1676397637.346548,2558
1676397638.3887792,2562
1676397639.4684434,2566
1676397640.4959407,2559
1676397641.5976458,2545
1676397642.6613967,2550
1676397643.745253,2554
1676397644.902496,2553
1676397645.9098,2549
1676397647.0337515,2573
1676397648.101982,2542
1676397649.2290719,2543
1676397650.3329747,2549
1676397651.3486466,2549
1676397652.4420226,2553
1676397653.4679613,2537
1676397654.5989501,2537
1676397655.7085695,2545
1676397656.8318732,2549
1676397657.9526849,2552
1676397659.0531373,2557
1676397660.1340127,2548
1676397661.2522168,2556
1676397662.3452399,2545
1676397663.4850893,2544
1676397664.5659962,2543
1676397665.589046,2542
1676397666.5981076,2543
1676397667.7306275,2553
1676397668.8692677,2550
1676397670.0632703,2561
1676397671.1492436,2552
1676397672.2368197,2545
1676397673.405887,2547
1676397674.4752262,2544
1676397675.613069,2556
1676397676.7551644,2554
1676397677.7713203,2552
1676397678.8635905,2550
1676397679.928262,2547
1676397681.019102,2559
1676397682.1034012,2556
1676397683.138299,2564
1676397684.353092,2558
1676397685.3793442,2559
1676397686.4252517,2548
1676397687.5156384,2548
1676397688.587877,2558
1676397689.6645963,2552
1676397690.7590718,2542
1676397691.8936753,2536
1676397693.0235205,2550
1676397694.1730142,2542
1676397695.1932118,2547
1676397696.2451227,2549
1676397697.3468437,2551
1676397698.4362679,2548
1676397699.4619532,2551
1676397700.4907176,2537
