Time,Memory (MB)
1676331663.9188783,2680
1676331665.0247269,2696
1676331666.1093833,2692
1676331667.214271,2699
1676331668.3888333,2690
1676331669.4208524,2686
1676331670.444979,2692
1676331671.4945397,2689
1676331672.5879664,2697
1676331673.6987348,2687
1676331674.721722,2689
1676331675.7796872,2688
1676331676.9478745,2696
1676331678.069053,2688
1676331679.093916,2680
1676331680.1618605,2689
1676331681.2067103,2701
1676331682.303786,2692
1676331683.393142,2689
1676331684.4261603,2692
1676331685.4495995,2690
1676331686.5236,2690
1676331687.6319985,2696
1676331688.715908,2699
1676331689.793259,2702
1676331690.8460693,2695
1676331691.902664,2703
1676331693.0770268,2712
1676331694.1549144,2689
1676331695.21296,2704
1676331696.377213,2693
1676331697.4778028,2698
1676331698.558593,2696
1676331699.637186,2685
1676331700.7208452,2682
1676331701.7944753,2694
1676331702.955603,2720
1676331704.019157,2706
1676331705.0998757,2695
1676331706.2731695,2707
1676331707.3386834,2705
1676331708.428808,2710
1676331709.5458128,2713
1676331710.5773594,2709
1676331711.755427,2707
1676331712.794476,2700
1676331713.8534315,2702
1676331714.9410658,2700
1676331716.0123022,2700
1676331717.1156137,2682
1676331718.1944935,2676
1676331719.3124137,2696
1676331720.4024117,2692
1676331721.4491975,2690
1676331722.5385473,2710
1676331723.6259348,2694
1676331724.6811728,2694
1676331725.956824,2694
1676331727.0635202,2679
1676331728.2097378,2696
1676331729.2893395,2693
1676331730.337431,2692
1676331731.462368,2693
1676331732.5287273,2692
1676331733.5666935,2692
1676331734.6818476,2692
1676331735.8016768,2691
1676331736.8346555,2692
1676331737.8734446,2685
1676331738.9733212,2693
1676331740.0855765,2692
1676331741.2910075,2693
1676331742.346812,2699
1676331743.4304872,2696
1676331744.5290134,2692
1676331745.6287894,2704
1676331746.7585394,2700
1676331747.896436,2692
1676331748.9395742,2689
1676331749.9702115,2689
1676331751.034959,2688
1676331752.1869283,2683
1676331753.2858872,2685
1676331754.3478894,2695
1676331755.4485905,2696
1676331756.5924327,2710
1676331757.6708226,2702
1676331758.8104985,2692
1676331759.9173496,2696
1676331760.9461563,2702
1676331762.0336244,2693
1676331763.1091633,2693
1676331764.1714406,2694
1676331765.2521257,2700
1676331766.4097612,2700
1676331767.48845,2695
1676331768.6494124,2686
1676331769.6816075,2683
1676331770.7775598,2693
1676331771.795999,2705
1676331772.841475,2720
1676331773.9811437,2705
1676331775.0210817,2691
1676331776.1250238,2705
1676331777.2518597,2704
1676331778.4390707,2699
1676331779.6173265,2709
1676331780.6380675,2713
1676331781.6829977,2711
1676331782.7405598,2702
1676331783.7631779,2707
1676331784.8404608,2712
1676331785.8955765,2714
1676331786.947396,2716
1676331788.0747228,2719
1676331789.2016249,2717
1676331790.3927855,2710
1676331791.4257212,2715
1676331792.56008,2707
