Time,Memory (MB)
1676398186.61395,3091
1676398187.8510604,3103
1676398189.0450048,3092
1676398190.164629,3105
1676398191.3346636,3108
1676398192.406831,3113
1676398193.593057,3117
1676398194.6721904,3111
1676398195.98853,3117
1676398197.0930245,3119
1676398198.3379352,3122
1676398199.3790605,3120
1676398200.5128179,3125
1676398201.7119572,3136
1676398202.869204,3128
1676398203.939425,3132
1676398205.1478155,3130
1676398206.331139,3128
1676398207.780725,3124
1676398209.1412756,3122
1676398210.2093344,3118
1676398211.2420242,3123
1676398212.3384752,3126
1676398213.4623344,3120
1676398214.5264375,3116
1676398215.6054919,3112
1676398216.7511158,3109
1676398217.8396454,3115
1676398218.8989744,3114
1676398219.9250803,3109
1676398221.0268886,3105
1676398222.229036,3101
1676398223.4179142,3113
1676398224.5033233,3112
1676398225.6720603,3113
1676398226.8625548,3109
1676398228.0473537,3124
1676398229.2684388,3133
1676398230.4587,3129
1676398231.5277348,3123
1676398232.548033,3133
1676398233.6491604,3133
1676398234.7807493,3132
1676398235.8976865,3128
1676398237.262097,3144
1676398238.5113516,3129
1676398239.7313578,3127
1676398240.830573,3133
1676398241.996716,3141
1676398243.122908,3128
1676398244.269071,3132
1676398245.3752506,3122
1676398246.5384204,3125
1676398247.6316504,3130
1676398248.6812797,3140
1676398249.7661204,3125
1676398251.0587463,3126
1676398252.2655683,3128
1676398253.4533906,3125
1676398254.6498117,3132
1676398256.0587535,3147
1676398257.1370573,3141
1676398258.3090336,3140
1676398259.484916,3131
1676398260.5730498,3136
1676398261.7720904,3127
1676398262.9174213,3131
1676398264.0281758,3127
1676398265.1429493,3133
1676398266.4218242,3136
1676398267.6738605,3128
1676398268.6968284,3138
1676398269.7494547,3130
1676398270.9196267,3128
1676398272.1518214,3126
1676398273.38549,3134
1676398274.710968,3127
1676398275.8391654,3130
1676398276.9214766,3127
1676398278.1341841,3124
1676398279.2626035,3124
1676398280.4170215,3145
1676398281.6978893,3136
1676398282.7450638,3134
1676398284.1380227,3140
1676398285.1955729,3132
1676398286.5230494,3132
1676398287.6308181,3141
1676398288.7056787,3136
1676398289.7770596,3134
1676398290.9650402,3132
1676398292.1616912,3128
1676398293.408784,3137
1676398294.4727154,3135
1676398295.5396385,3123
1676398296.5731535,3120
1676398297.7886348,3127
1676398298.989382,3130
1676398300.1844583,3130
1676398301.3607135,3123
1676398302.3711286,3133
1676398303.4301555,3135
1676398304.6852672,3140
1676398305.7368238,3131
1676398306.7666564,3128
1676398307.968124,3131
1676398309.0649369,3135
1676398310.3211231,3136
1676398311.3345428,3133
1676398312.543023,3133
1676398313.7890456,3132
